Topic 0 : politicsnation, useful, cousin, boulder, connects, nativeamerican, aforismo, llevar, stamendment, moreyears, desk, wrestling, sooper, hispanics, anitas, mainstream, pickahashtagpeople, contribution, invented, lepeep, 
Topic 1 : quest, dos, fascist, wallet, punta, dfm, natalie, necess, blogged, barking, persons, meitzen, denve, environmentalists, chocolate, trap, deadline, theroots, eastwooding, xornalismo, 
Topic 2 : rush, stinson, barbate, lessons, warmth, puppets, repress, stats, cutedevil, ndjed, lookou, forgot, wild, reply, cleared, dontvot, incepting, serfs, eunuchs, hess, 
Topic 3 : debates, obama, denverdebate, romney, debate, tonight, presidential, vote, mitt, election, would, barack, candidates, without, support, trial, citizens, detain, hesitate, charges, 
Topic 4 : nice, supporting, dicaprio, selena, weyants, arrogant, despr, unconscionable, steam, witnessing, preps, gloria, ebooks, streamed, fears, honored, insomnia, goproud, cities, founder, 
Topic 5 : iverson, disturbing, worstcasescenario, prostitutes, emerges, delphisalariedretirees, fitting, jennin, domani, featured, joy, degrees, executivelegislativejudicialcare, ledesma, stillbitter, empathetic, flush, immediately, tirer, codems, 
Topic 6 : journalists, tica, holds, tmw, debacolypse, nema, pillamina, spies, zapata, airtime, undeci, ironic, smith, crew, morals, surround, spiked, punchromney, taxincreases, clips, 
Topic 7 : unbiased, pacs, butihavetogotoworkonthursday, professionally, uplink, abridging, messing, fort, terrified, meat, jailed, mode, occup, hilary, attempt, sketch, stunning, tommorrow, galicia, rented, 
Topic 8 : lulz, scandal, needle, pot, mentality, goal, collegedems, member, golden, mocked, freeebooks, historical, powerball, fishkin, impressed, cyclone, changer, milehipride, dine, abhors, 
Topic 9 : encourages, topics, lembrar, cheetos, statewide, hush, leo, sooner, luella, aspects, guided, success, riggedfield, boba, conta, gap, cowardice, shields, romneyfail, junk, 
